Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of EI programs,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days,
2003,WDPX,PAX  TV,Boston,3,analog,MIRACLE PETS,core,network,Saturdays / October 4th - December 27th / 6:00 p.m. ET,13,0,60,13,16,"Miracle Pets is a one-hour live-action program. This show is designed to meet the educational and informational needs of children between the ages of 13 and 16. Each episode explores different short re-enactments of pets/animals doing heroic, extraordinary actions. Children learn positive role models, pro-social values and the importance of taking care of the pets in their lives.",99,n/a,n/a,n/a,
2003,WDPX,PAX  TV,Boston,3,analog,ANIMAL TAILS,core,network,Sundays / October 5th - December 28th / 6:00 p.m. ET,13,0,60,13,16,"Animal Tails is a one-hour, taped television program with a live, participating audience. This show is designed to meet the educational and informational needs of children between the ages of 13 and 16. Each episode follows the host, Mark Curry, as he spe",99,n/a,n/a,n/a,
2003,WFXT,FOX,Boston,3.8,analog,CUBIX,core,network,Saturday 8:00am,13,0,30,9,11,"“Cubix” is a futuristic animated series that features a diverse group of adolescent characters and their intelligent, “feeling” robot. A significant purpose of CUBIX is to inspire and promote pro-social values and altruistic behaviors such as community participation and support, resilience, tolerance, and perseverance. The social-emotional learning objectives of the series include the modeling and reinforcement of age appropriate interpersonal skills, self-confidence, courage and personal responsibility. Each episode promotes a specific emotional competency and it is the intent of the series to motivate children to develop a strong self-concept and the social-emotional literacy skills that are now part of the curriculum in schools across the country. The program will be regularly scheduled and air between the hours of 7:00 am and 10:00 pm. The program is 30 minutes in length, and will be identified as an educational and informational show, targeted to 9 to 11 year olds, at the beginning of each broadcast and in listings provided to publishers of program guides.",99,n/a,n/a,n/a,
2003,WFXT,FOX,Boston,3.8,analog,NFL UNDER THE HELMET,core,network,Saturday 12:00pm,13,0,30,13,16,"NFL ""Under the Helmet"" showcases the pro-social on and off the field activities of the NFL's leading players and coaches. Working with the National Association for Sports and Physical Education (NASPE), the program (1) educates teens about dedication, hard work, teamwork, goal setting and community service, (2) provices examples of responsible social and personal behavior, (3) demonstrates how to deal constructively with the differences among people, and (4) teaches the benefits of physical activity and fitness. The program is regularly scheduled and airs between the hours of 7:00am and 10:00pm. The program is 30 minutes in length, and is identified as an educational and informational show, targeted to teens (13-16 year olds), at the beginning of each broadcast and in listings provided to publishers of program guides.",99,n/a,n/a,n/a,
2003,WFXT,FOX,Boston,3.8,analog,WILD MOMENTS,core,syndicated,Sunday 7:30am (10/5-12/7; 12/21-12/28),12,1,30,13,16,"Wild Moments is an educational program with the following objectives: (1) To provide a positive learning context for the acquisition of knowledge. (2) To familiarize viewers with the diversity of animal life in the wild. (3) Provides information about the attributes and habitat of different wild animal species. (4) Informs viewers about the dangers and threats of approaching some animals. (5) Increases awareness of the importance of conservation and provide information for enhancing conservation of the environmentand animal diversity. (6) Indicates the ecological importance and contribution ofparticular wild animals. (7) Simulates interest in biological and related scientific fields. The program is regularly scheduled and airs between the hours of 7:00am and 10:00pm. The program is 30 minutes in length, and is identified as an educational and informational show, targeted to6 to 15 years olds, at the beginning of each broadcast and in listings provided to publishers of program guides.",0,n/a,n/a,n/a,
2003,WFXT,FOX,Boston,3.8,analog,PET KEEPING WITH MARC MORRONE,core,syndicated,Sat 7:30am (10/4-12/27) + Sun (10/5-12/7; 12/21-12/28),25,1,30,6,13,"An engaging program for teens and their families. The knowledgable content of host Marc Morrone and his wonderful menagerie of animal friends will also capture the attention of younger children. Information is practical, lively and presented at just the right pace. It is an especially nice touch to see that this unscripted program, part neighborly chat and part animal insight, offers unique advice and helful tips on anything from housebreaking a puppy to supplementing a lizard's diet. There is a great amount to learn from animals, particularly the pets that so closely share our lives. This is an intelligent and entertaining program that is fun; the fact that it also gives us answers makes the show very good.The program is regularly scheduled and airs between the hours of 7:00am and 10:00pm. The program is 30 minutes in length, and is identified as an educational and informational show, targeted to6 to 15 years olds, at the beginning of each broadcast and in listings provided to publishers of program guides.",0,n/a,n/a,n/a,
2003,WFXT,FOX,Boston,3.8,analog,WILD ABOUT ANIMALS,core,syndicated,Sat 7:00am (10/4-12/27) + Sun 8:30am (10/5-12/27; 12/21012/28),25,1,30,13,16,"The objective of this series is to educate and inform children by bringing them the most entertaining and interesting stories about the world's most fascinating animals. Each episode consists of at least 4 stories designed to teach children about exotic and unique animals from the wild, as well as to educate them further about animals seen in everyday life.",0,n/a,n/a,n/a,
2003,WFXT,FOX,Boston,3.8,analog,AWESOME ADVENTURES,core,syndicated,Sunday 7:00am (9/7-9/28+ 10/5-12/7 + 12/21-12/28),12,1,30,13,16,n/a,0,n/a,n/a,n/a,
2003,WHDH-TV,NBC,Boston,3,analog,CROC FILES,core,network,"SATURDAYS, 11:00 AM - 11:30 AM",4,0,30,9,14,"CROCODILE HUNTER STEVE IRWIN AND HIS WIFE, TERRI, TAKE VIEWERS AROUND THE GLOBE TO WRANGLE AND WRESTLE AMAZING ANIMALS. VIEWERS LEARN ABOUT ANIMAL ANATOMY, LIFE CYCLES, AND EATING AND MATING HABITS. THE OBJECTIVES OF THE SHOW ARE TO: EXPOSE THE AUDIENCE TO THE HABITAT, BEHAVIOR PATTERNS AND, IN MOST CASES, DANGERS OF MOST NON-DOMESTICATED ANIMALS; DEMONSTRATE HOW TO BE SAFE AROUND WILD ANIMALS; INFORM THE AUDIENCE ABOUT THE LIFE CYCLE, EATING HABITS AND SOCIAL BEHAVIOR OF DIFFERENT ANIMALS; INFORM THE AUDIENCE ABOUT CONSERVATION ISSUES AND THE RELATIONSHIP AND IMPORTANCE OF DIFFERENT ANIMALS TO SPECIFIC ECOSYSTEMS.",99,n/a,n/a,n/a,
2003,WHDH-TV,NBC,Boston,3,analog,JEFF CORWIN UNLEASHED,core,network,"SATURDAYS, 11:30 AM - 12:00 Noon",4,0,30,9,14,"JEFF CORWIN UNLEASHED HAS ONE OVERARCHING GOAL: TO SHOW THE AUDIENCE THE IMPORTANCE OF ECOLOGICAL BALANCE AND WILDLIFE CONSERVATION. EVERY EPISODE FEATURES THE NATURALIST AND ENVIRONMENTALIST, JEFF CORWIN, ON HIS WORLDWIDE TRAVELS. JEFF IS A NO-FRILLS TRAVELER, INTERESTED IN DOCUMENTING AND SHARING WITH THE AUDIENCE AN ABUNDANCE OF INFORMATION ABOUT ANIMAL HABITATS, ZOOLOGY, SPECIES EVOLUTION AND ECOSYSTEMS. IN EACH EPISODE OF THIS SHOW, THE VIEWERS WILL SEE JEFF GO DEEP INTO FORESTS, SWAMPS, DESERTS, MOUNTAINS, AND RIVERS TO FIND UNUSUAL AND RARE ANIMALS FROM DIFFERENT COUNTRIES. HE ALWAYS GOES RIGHT TO THE ORIGINAL HABITAT, POINTING OUT HISTORICAL FACTS ALONG THE WAY, SO OUR AUDIENCE NOT ONLY UNDERSTANDS WHERE THE ANIMALS LIVE, BUT WHY AND HOW THE ANIMALS EXIST IN THEIR PARTICULAR ECOSYSTEM.",99,n/a,n/a,n/a,
