Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of EI programs,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
2005,WKBD,UPN,DETROIT,3,ANALOG,COOLFUEL ROAD TRIP,CORE,SYNDICATED,SAT 9:00-9:30 AM,14,0,30,13,16,"EACH EPISODE FOLLOWS THE COOLFUEL TEAM AS THEY TACKLE THE CHALLENGES OF LIFE ON THE ROAD - SEARCHING FOR NEW AND OUT-OF-THIS-WORLD FUEL, DISCOVERING STRANGE VEHICLES, MEETING AMAZING PEOPLE AND, ON OCCASSION, GETTING VERY, VERY LOST. IT'S A FANTASTIC WEAVE THROUGH EVERY LANDSCAPE IN AMERICA. SPARKY AND SHAUN TRAVEL IN REVOLUTIONARY ALTERNATIVE FUEL VEHICLES WITH THEIR MATES FROM DOWN UNDER, TERESA, MARTY AND GUS, WHO CONTINUALLY URGE THEM INTO WACKY SITUATIONS. THE CREW ALSO HAS ITS OWN CHALLENGE - TO DRIVE THE FIRST SOYBEAN OIL AND SOLAR-POWERED RV AROUND THE COUNTRY AND TO RESCUE SHAUN AND SPARKY WHEN THEY TAKE A WRONG TURN. THROUGHOUT THEIR ADVENTURE, SHAUN AND HIS CREW MEET AMERICA'S NEW FUEL PIONEERS WHO SHARE THEIR INNOVATIONS, HELPING THE COOLFUEL CREW ACHIEVE THE ALL-AMERICAN ROAD TRIP.",99,N/A,N/A,N/A
2005,WKBD,UPN,DETROIT,3,ANALOG,CRASH! BANG! SPLAT!,CORE,SYNDICATED,SAT 9:30-10:00 AM,14,0,30,8,12,"THIS SERIES RIPS SCIENCE RIGHT OUT OF THE LABORATORY AND INTO THE REAL WORLD. IT'S SCIENCE FOR KIDS BY KIDS. EACH EPISODE SHOWS CHILDREN FROM A RANGE OF NATIONALITIES AND BACKGROUNDS JOINING A NUMBER OF SCIENCE-BASED ACTIVITIES, EXPERIMENTS AND GAMES, ALL OF WHICH CAN BE REPEATED BY THE AUDIENCE, AS THEY ONLY USE READILY AVAILABLE MATERIAL. AT THE END OF EACH SEGMENT CHILDREN HAVE A BETTER UNDERSTANDING OF THE WORLD AROUND THEM AND SOME DYNAMIC EXPERIMENTS TO TRY THEMSELVES, NOT TO MENTION A THIRST TO KNOW MORE.",99,N/A,N/A,N/A
2005,WPXD,i INDEPENDENT TELEVISION ,DETROIT,3,ANALOG,AMERICA'S MOST TALENTED KIDS E/I,CORE,NETWORK,THURS 6:00-7:00 PM,13,0,60,13,16,"America's Most Talented Kids is a one-hour program that serves as a way for children ages 13 to 16 to learn and share from one another in a positive, constructive, socially compelling fashion that is also entertaining. Ranging from singers and dancers to comedians and magicians, the young performers partake in an experience that gives them the confidence and know-how to shoot for the stars.",99,N/A,N/A,N/A
2005,WPXD,i INDEPENDENT TELEVISION ,DETROIT,3,ANALOG,ANIMAL TAILS E/I,CORE,NETWORK,FRI 6:00-7:00 PM,13,0,60,13,16,"Animal Tails is a one-hour, taped television program with a live-participating audience. This show is designed to meet the eductaional and informational needs of children between th ages of 13 and 16. Each episode follows the host, Mark Curry, as he spends time with people, pets and exotic animals as they recount their real-life adventures. Mark also talks with people knowledgeable about each animal, teaching as he goes. Each episode is designed to reveal to children the world around them in a way that presents positive role models and pro-social values.",99,N/A,N/A,N/A
2005,WPXD,i INDEPENDENT TELEVISION ,DETROIT,3,ANALOG,AMERICA'S MOST TALENTED KIDS E/I,CORE,NETWORK,FRI 8:00-9:00 PM,13,0,60,13,16,"America's Most Talented Kids is a one-hour program that serves as a way for children ages 13 to 16 to learn and share from one another in a positive, constructive, socially compelling fashion that is also entertaining. Ranging from singers and dancers to comedians and magicians, the young performers partake in an experience that gives them the confidence and know-how to shoot for the stars.",99,N/A,N/A,N/A
2005,WUDT-CA,UNIVISION,DETROIT,3,ANALOG,VIVAN LOS NINOS,CORE,NETWORK,SAT & SUN 7:30-9:00 AM,27,0,90,8,16,"A significant purpose and key educational objective of this program is to show the value of diversity, friendship and teamwork. Vivan Los Ninos (""Hooray for the Kids"") has an extensive cast of characters, reflecting a wide variety of socio-economic, racial and religious backgrounds and living in both single and two parent households. This group of second graders teach the viewers how they learn to respect each other's differences and learn from each other through their adventures and stories.",99,N/A,N/A,N/A
2005,WWJ,CBS,DETROIT,3,ANALOG,LAZY TOWN,CORE,NETWORK,SAT 7:00-7:30 AM,14,0,30,2,11,"THIS SERIES WILL EXPLORE FUN WAYS TO INSPIRE CHILDREN TO LIVE HEALTHIER LIVES THROUGH FITNESS, CHOICES IN DIET, IMPROVED SELF-RESPECT AND MODERATION.",99,N/A,N/A,N/A
2005,WWJ,CBS,DETROIT,3,ANALOG,"GO, DIEGO, GO",CORE,NETWORK,SAT 7:30-8:00 AM,14,0,30,2,5,"THIS SERIES FEATURES THE ADVENTURES, EXPLORATIONS, AND SPECIAL SCIENTIFIC DISCOVERIES OF AN EIGHT YEAR OLD LATINO, DIEGO MARQUEZ (DORAS COUSIN IN ""DORA THE EXPLORER""), HIS ELEVEN YEAR-OLD SISTER ALICIA, A SPECIAL TELESCOPIC CAMERA, A UNIQUE RESCUE BACKPACK, A HIGHLY COMPUTERIZED FIELD JOURNAL, AND A HOST OF FRIENDLY, AND SOMETIMES, MISCHIEVOUS ANIMALS.",99,N/A,N/A,N/A
2005,WWJ,CBS,DETROIT,3,ANALOG,THE BACKYARDIGANS,CORE,NETWORK,SAT 8:00-8:30 AM,14,0,30,2,5,"THIS SERIES INCLUDES FIVE FRIENDS THAT TELL A STORY, SHOW WHO THEY ARE, EXPRESS HOW THEY FEEL OR BECOME THEIR FAVORITE CHARACTERS, ALL IN THE COMFORT OF THEIR BACKYARDS.",99,N/A,N/A,N/A
2005,WWJ,CBS,DETROIT,3,ANALOG,DORA THE EXPLORER,CORE,NETWORK,SAT 8:30-9:00 AM,14,0,30,2,5,"IN THIS SERIES, SEVEN YEAR OLD DORA AND HER MONKEY TRAVEL COMPANION, BOOTS, INVITE THE AUDIENCE TO JOIN THEM EACH WEEK ON A JOURNEY IN WHICH THEY HAVE TO OVERCOME VARIOUS OBSTACLES TO REACH AN END GOAL. THE SERIES USES A CD-ROM/ONLINE ADVENTURE GAME FORMAT TO ENCOURAGE A VARIETY OF PROBLEM SOLVING STRATEGIES. THE OBJECTIVES OF THIS PROGRAM ARE TO ASSIST CHILDREN IN DEVELOPING THEIR PROBLEM SOLVING SKILLS AND MAKE COMPUTERS MORE FAMILIAR TO THEM BY INTRODUCING AND USING THE CONVENTIONS AND VOCABULARY OF COMPUTER GAMES.",99,N/A,N/A,N/A
