Year,Call Sign,Network Affiliation,Nielsen DMA,Ave. # of Analog hours,Analog or Digital,Title of EI programs,Core or Non-core,Origin of Program,Regular schedule of Program,Total times aired,Number of pre-emptions,Length of Program (in minutes),Age of Target Audience From,Age of Target Audience To,Description of Program,Number of pre-emptions rescheduled,Ave. # of hours of all digital programming per week,Ave. # of hours per week of digital Core Programming per week,Y or N to Q 11 in Digital Core Programming: At least 50% of the Core Programming had not already aired within the previous seven days
1997,WTHR,NBC,"Indianapolis, IN",3.3,Analog,City Guys,Core,Network,Saturdays 11-11:30AM & 12-12:30PM,11,2,30,13,16,"""CITY GUYS"" - The educational objective of this program is to demonstrate how the knowledge of one or more characters in the story moves from one level to a more informed or higher level of knowledge by the end of each episode. This change in knowledge conveys an educational message to the audience which may fall into one or more categories - intellectual-cognitive and/or social-emotional. The message will always be integral to the plot and present throughout the script. This objective is achieved in this series by exploring the pressures of living in a big city environment where situations are sometimes so difficult and challenging, kids have to learn sophisticated and responsible decision-making to be safe and stay focused. The series follows the encounters and problem-solving of two young men through an eventful school year at Manhattan High and shows teens how to work with their principal, family and friends to be successful.",N/A,N/A,N/A,N/A
1997,WTHR,NBC,"Indianapolis, IN",3.3,Analog,Saved by the Bell - The New Class II,Core,Network,Saturdays 11:30-12PM,11,2,30,13,16,"""SAVED BY THE BELL"" - explores social themes through the daily school life of six teenage friends at Bayside High who help each other make the most of growing up in a complicated world. The Bayside kids give teens a useful perspective on many of the tough issues they have to face both in and out of the classroom. Through relatable storylines, this multi-ethnic cast serves as role models as they explore such issues as dealing with the death of a loved one, the right to say ""no"", the meaning of heroism, and teenage alcohol use. Add that to the normal stresses of sustaining friendships, performing well in school, and developing an identity, and the scene at Bayside High is packed with more than the usual challenges of high school life.",N/A,N/A,N/A,N/A
1997,WTHR,NBC,"Indianapolis, IN",3.3,Analog,Hang Time II,Core,Network,Saturdays 11-11:30AM &12-12:30PM,11,2,30,13,16,"""HANG TIME"" - follows the Deering Tornados, a boy's basketball team in an Indiana High School that is dealing with the issue of welcoming and integrating a female player into the social and interpersonal fabric of the team. The series follows the starting line-up through its basketball seasons and explores both personal themes of adolescent life, as well as the social themes which relate to sportsmanship, fair play, jealousy, teamwork, cooperation and competition. As the team progresses through each season, the audience will see them develop skills in several areas. These include establishing priorities, managing conflict, developing self-confidence, respecting differences, and reducing bias in behavior towards others. There is an emphasis on interpersonal competence and teamwork which demonstrates to the audience ways to develop positive self-concepts yet also make and maintain effective social relationships.",N/A,N/A,N/A,N/A
1997,WTHR,NBC,"Indianapolis, IN",3.3,Analog,NBA Inside Stuff,Core,Network,Saturdays 1-1:30PM,11,2,30,13,16,"""NBA INSIDE STUFF"" - An expert educational consultant works with the producers and writers of the show to make sure that the program segments are based on a curriculum inspired by the U.S. Department of Education's Goals 2000, with particular focus on messages encouraging the following values - school completion, community service, cooperation, tolerance of differences, healthful practices and athletics, peaceful conflict resolution and global awareness. These educational and informational messages are conveyed primarily through real life examples, interviews and commentary by the program's host. Weekly features on players and other individuals help the audience see how these individuls were able to overcome various obstacles in order to achieve their goals.",N/A,N/A,N/A,N/A
1997,WTHR,NBC,"Indianapolis, IN",3.3,Analog,Disney's Sing Me a Story with Belle,Non-Core,Syndicated,Saturdays 6-6:30AM,13,0,30,2,6,"""SING A STORY WITH BELLE"" - The series is designed to teach young children, through a series of classic stories and discussions, about fundamentals, morals and educational lessons of life. The show adresses issues like overcoming fears, working with others, understanding diversity, dealing with problems, etc. Reading is strongly encouraged throughout the series.",99,N/A,N/A,N/A
1997,WTTK,UPN,"Indianapolis, IN",6.5,Analog,Bananas in Pajamas,Core,Syndicated,Mon-Fri 8:30-9AM,66,0,30,4,7,"""BANANAS IN PAJAMAS"" - This live action series features mischievous twins who live in a colorful storybook world with their friends, the teddies, and the lovable rogue Rat-in-the-Hat. Together they engage in wondrous adventures that capture the imagination of children. These endearing stories teach young children about social concepts such as sharing, generousity, cooperation, following directions, and creative expression.",99,N/A,N/A,N/A
1997,WTTK,UPN,"Indianapolis, IN",6.5,Analog,Captain Kangaroo,Core,Syndicated,Saturdays 7-7:30AM,13,0,30,4,7,"""THE ALL NEW CAPTAIN KANGAROO"" - The program is built on the underlying premise that the growing intelligence of the young child is unique and fundamentally different from school-aged children. Major goals are to help develop a sense of self-esteem, exhibit a positive attitude toward life, demonstrate cooperation and pro-social behavior.",99,N/A,N/A,N/A
1997,WTTK,UPN,"Indianapolis, IN",6.5,Analog,Mr. Men,Core,Syndicated,Mon-Fri 2:30-3PM,66,0,30,4,7,"""MR. MEN"" - The program is a creative inspiration from the well known ""Mr. Men"" and ""Little Miss"" series of children's books. Each episode introduces children to a number of educationally positive ideas. Some episodes encourage children to appreciate and respect the differences in all people. In other, episodes, the characters teach children to be sensitive to other people's feelings. The characters also reinforce the concept that children need to manage their own feelings and emotions. Children are taught a number of simple and useful ways to solve everyday problems.",99,N/A,N/A,N/A
1997,WTTK,UPN,"Indianapolis, IN",6.5,Analog,Enchanted Tales,Core,Syndicated,Saturdays 8:30-9:30AM,13,0,60,4,7,"""ENCHANTED TALES"" - The educational and informational objective of the program is to assist children in using their imagination and learning the importance of reading while instilling positive, social behavior. Each episode incorporates lessons about values and morals, which are reiterated at the end again by Wizen the Wizard. The series introduces children to some of the best literary classics and encourages them to visit their local library to read the original stories and other works by the same author. The episodes introduces children to orchestrated scores by such great composers as Beethoven, Mozart and Tchaikovsky.",99,N/A,N/A,N/A
1997,WTTK,UPN,"Indianapolis, IN",6.5,Analog,Mark's Wired World,Non-Core,Syndicated,Saturdays 6:30-7AM,13,0,30,12,15,"""MARK'S WIRED WORLD"" - The program informs and educates kids in subjects relative to computers, such as how computer animation works, and teaches them values such as responsibility by instructing them in how to care for their computer pets.",99,N/A,N/A,N/A
1997,WTTV,UPN,"Indianapolis, IN",6.5,Analog,Bananas in Pajamas,Core,Syndicated,Mon-Fri 8:30-9AM,66,0,30,4,7,"""BANANAS IN PAJAMAS"" - This live action series features mischievous twins who live in a colorful storybook world with their friends, the teddies, and the lovable rogue Rat-in-the-Hat. Together they engage in wondrous adventures that capture the imagination of children. These endearing stories teach young children about social concepts such as sharing, generousity, cooperation, following directions, and creative expression.",99,N/A,N/A,N/A
1997,WTTV,UPN,"Indianapolis, IN",6.5,Analog,Captain Kangaroo,Core,Syndicated,Saturdays 7-7:40AM,13,0,40,4,7,"""THE ALL NEW CAPTAIN KANGAROO"" - The program is built on the underlying premise that the growing intelligence of the young child is unique and fundamentally different from school-aged children. Major goals are to help develop a sense of self-esteem, exhibit a positive attitude toward life, demonstrate cooperation and pro-social behavior.",99,N/A,N/A,N/A
1997,WTTV,UPN,"Indianapolis, IN",6.5,Analog,Mr. Men,Core,Syndicated,Mon-Fri 2:30-3PM,66,0,30,4,7,"""MR. MEN"" - The program is a creative inspiration from the well known ""Mr. Men"" and ""Little Miss"" series of children's books. Each episode introduces children to a number of educationally positive ideas. Some episodes encourage children to appreciate and respect the differences in all people. In other, episodes, the characters teach children to be sensitive to other people's feelings. The characters also reinforce the concept that children need to manage their own feelings and emotions. Children are taught a number of simple and useful ways to solve everyday problems.",99,N/A,N/A,N/A
1997,WTTV,UPN,"Indianapolis, IN",6.5,Analog,Enchanted Tales,Core,Syndicated,Saturdays 8:30-9:30AM,13,0,60,4,7,"""ENCHANTED TALES"" - The educational and informational objective of the program is to assist children in using their imagination and learning the importance of reading while instilling positive, social behavior. Each episode incorporates lessons about values and morals, which are reiterated at the end again by Wizen the Wizard. The series introduces children to some of the best literary classics and encourages them to visit their local library to read the original stories and other works by the same author. The episodes introduces children to orchestrated scores by such great composers as Beethoven, Mozart and Tchaikovsky.",99,N/A,N/A,N/A
1997,WTTV,UPN,"Indianapolis, IN",6.5,Analog,Mark's Wired World,Non-Core,Syndicated,Saturdays 6:30-7AM,13,0,30,12,15,"""MARK'S WIRED WORLD"" - The program informs and educates kids in subjects relative to computers, such as how computer animation works, and teaches them values such as responsibility by instructing them in how to care for their computer pets.",99,N/A,N/A,N/A
1997,WXIN,FOX,"Indianapolis, IN",4,Analog,Bobby's World,Core,Network,Mon-Thurs 7-7:30AM & Sat 7-7:30AM,66,0,30,4,11,"The programs focus on dealing with the challenges of growing up. As children experience the various scenarios that Bobby finds himself in, they learn about family, friends, and values. The stories offer children, particularly the 4-11 year old audience, an opportunity to learn how to cope and understand some of the complexities of the world.",99,N/A,N/A,N/A
1997,WXIN,FOX,"Indianapolis, IN",4,Analog,Life with Louie,Core,Network,Saturdays 10-10:30AM,13,0,30,6,11,"As Louie shares the tales of his childhood years, children can relate to the trials and tribulations of childhood joys and fears. 6 to 11 year olds can particularily share in Louie's experiences growing up, as the stories explore issues and scenarios that are common to growing up, yet might be perplexing to a child. The series offers children a chance to consider what they might do if faced with the same kinds of problems that Louie copes with.",99,N/A,N/A,N/A
1997,WXIN,FOX,"Indianapolis, IN",4,Analog,C-Bear and Jamal,Core,Network,Fridays 7-7:30AM,13,0,30,4,11,"This show focuses on the adventures of a young boy in an urban setting. The multicultural cast includes Jamal's sidekick C-Bear, a stuffed bear with special powers used to illustrate various moral lessons appropriate for an audience of 4-11 year olds. Each episode contributes to the educational, psychosocial, and intellectual development of children by incorporating short vignettes that encourage positive family and peer relationships as well as sound moral development.",99,N/A,N/A,N/A
1997,WXIN,FOX,"Indianapolis, IN",4,Analog,Oscar's Orchestra,Core,Syndicated,Sundays 7-7:30AM,13,0,30,2,11,"""OSCAR'S ORCHESTRA"" - The series is an excellent educational resource because it makes learning about classical music fun and exciting. Children are exposed to all the great composers and their music and an in-depth curriculum has been developed to correspond with each episode.",99,N/A,N/A,N/A
1997,WXIN,FOX,"Indianapolis, IN",4,Analog,Life with Louie,Non-Core,Network,Saturdays 7:30-8AM,5,0,30,6,11,"As Louie shares the tales of his childhood years, children can relate to the trials and tribulations of childhood joys and fears. 6 to 11 year olds can particularily share in Louie's experiences growing up, as the stories explore issues and scenarios that are common to growing up, yet might be perplexing to a child. The series offers children a chance to consider what they might do if faced with the same kinds of problems that Louie copes with.",99,N/A,N/A,N/A
